speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,G,G,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
85.4410524176818,0.211470428969796,4.8,1.13033479281877,1.1154327357243,1,11.65,13006.647124847,59.3385271714809,108.384373406814,1211.0645538412,400.825147843422,0,88.2296788830001,71.9905713746074,50.7986386167414,1,131.380595779309,1.75,1.75,5.08080422296997,4.9731585674612,1.37002505119458,5.21529946656316,0.138920470229588,0,3859.7645538412,
85.6065934553433,0.215683860216407,4.9,1.14619648651878,1.11249547546253,1,11.65,13031.8473512092,59.2318462132146,108.399131965037,1215.76194676696,402.37984053753,0,88.1627435310305,71.4651819613763,50.2899668373504,1,131.380595779309,1.75,1.75,5.20721315044514,5.02944839307397,1.39901576859445,5.32172483547226,0.146862737070798,0,3864.46194676697,
85.7713799744815,0.21988914377541,5,1.16237054309982,1.10957046151449,1,11.65,13056.9327176076,59.1256514954613,108.413073342041,1220.44695974028,403.930435847848,0,88.0957852870111,70.9198824317622,49.7812950579594,1,131.380595779309,1.75,1.75,5.33481085986101,5.08683012343926,1.42891690129455,5.42803481197178,0.155032284529808,0,3869.14695974028,
85.935418131873,0.224086348018913,5.1,1.17886668653911,1.10665759995024,1,11.65,13081.9041612851,59.0199390505596,108.426208294402,1225.11964454761,405.476950914101,0,88.0288043714938,70.3534971398724,49.2726232785684,1,131.380595779309,1.75,1.75,5.46362179057265,5.14533806963858,1.45976641666441,5.53422872089563,0.163430844153695,0,3873.81964454761,
86.0987140037462,0.228275540412759,5.2,1.19569504616007,1.1037567980385,1,11.65,13106.762607223,58.914704962756,108.438547414928,1229.78005257526,407.019402743586,0,87.9618010042132,69.764751922278,48.7639514991774,1,131.380595779309,1.75,1.75,5.59367114249294,5.20500796823016,1.49160424756464,5.64030587047018,0.172060184322504,0,3878.48005257526,
86.2612735872521,0.232456787533179,5.3,1.21286617800162,1.10086796422498,1,11.65,13131.5089683643,58.8099453672576,108.450101135837,1234.42823481462,408.557808212878,0,87.8947754040965,69.1522629272821,48.2552797197864,1,131.380595779309,1.75,1.75,5.72498490800636,5.2658770577319,1.52447247517352,5.74626555172106,0.18092211138283,0,3883.12823481463,
86.4231028019015,0.236630155083055,5.4,1.2303910875535,1.0979910081111,1,11.65,13156.1441458332,58.7056564493061,108.460879731843,1239.06424186717,410.092184069514,0,87.8277277892726,68.5145237906432,47.7466079403954,1,131.380595779309,1.75,1.75,5.85758990550959,5.32798415794301,1.55841541574584,5.85210703785278,0.190018470828113,0,3887.76424186717,
86.5842074909681,0.240795707907803,5.5,1.2482812539603,1.09512584043333,1,11.65,13180.6690291481,58.601834443273,108.470893323181,1243.68812394947,411.62254693363,0,87.7606583770817,67.8498908480378,47.2379361610044,1,131.380595779309,1.75,1.75,5.99151381480917,5.39136975556103,1.59347979486328,5.95782958359939,0.199351148528099,0,3892.38812394947,
86.7445934228593,0.244953510010889,5.6,1.2665486558063,1.09227237304289,1,11.65,13205.0844964308,58.4984756317765,108.480151878551,1248.29993089803,413.148913299585,0,87.6935673840838,67.1565660030878,46.7292643816134,1,131.380595779309,1.75,1.75,6.12678521440394,5.45607609523177,1.62971490152937,6.06343242454478,0.208922072010032,0,3896.99993089803,
86.9042662924556,0.249103624568982,5.7,1.28520579860284,1.08943051888601,1,11.65,13229.3914146098,58.3955763448184,108.488665217994,1252.89971217415,414.671299537543,0,87.6264550260679,66.4325767784867,46.2205926022224,1,131.380595779309,1.75,1.75,6.26343362079009,5.52214727591143,1.6671727405089,6.16891477641069,0.218733211794333,0,3901.59971217415,
87.0632317224191,0.253246113946759,5.8,1.30426574411076,1.08660019198458,1,11.65,13253.5906396203,58.2931329589408,108.496443015705,1257.48751686856,416.189721895033,0,87.5593215180604,65.6757529600759,45.7119208228314,1,131.380595779309,1.75,1.75,6.4014895299742,5.58962935468794,1.7059082401881,6.27427583431058,0.22878658278769,0,3906.18751686856,
87.2214952644723,0.257381039711377,5.9,1.32374214164268,1.08378130741729,1,11.65,13277.6830165979,58.1911418964021,108.503494802772,1262.06339370612,417.704196498479,0,87.492167074334,64.8836990906396,45.2032490434404,1,131.380595779309,1.75,1.75,6.54098446127974,5.65857045696929,1.74597943459045,6.37951477196737,0.239084245736679,0,3910.76339370612,
87.3790624006477,0.261508462646611,5.99999999999999,1.34364926150258,1.08097378130113,1,11.65,13301.6693800698,58.0895996243714,108.509829969859,1266.62739105029,419.214739354706,0,87.4249919084159,64.0537618690504,44.6945772640494,1,131.380595779309,1.75,1.75,6.68195100364575,5.72902089422295,1.78744767692615,6.48463074089292,0.24962830874523,0,3915.32739105029,
87.5359385445092,0.26562844276667,6.09999999999999,1.36400203073516,1.07817753077339,1,11.65,13325.5505541398,57.9885026541416,108.515457769819,1271.17955690765,420.721366352413,0,87.3577962330957,63.1829912432713,44.1859054846584,1,131.380595779309,1.75,1.75,6.82442286457734,5.80103329029379,1.83037788104963,6.58962286952676,0.260420928859481,0,3919.87955690765,
87.6921290423463,0.269741039329703,6.19999999999999,1.38481607137304,1.07539247397399,1,11.65,13349.3273526709,57.8878475403598,108.520387320253,1275.71993893224,422.224093263626,0,87.290580260434,62.26809362683,43.6772337052674,1,131.380595779309,1.75,1.75,6.96843492190709,5.88744921593851,2.20042360908847,6.69449026233189,0.271464313723812,0,3924.41993893224,
87.8476391743417,0.273846310851006,6.29999999999999,1.40610774138811,1.07261853002826,1,11.65,13373.0005794626,57.7876308802751,108.524627606008,1280.2485844299,423.722935745121,0,87.22334420177,61.3053751800779,43.1685619258764,1,131.380595779309,1.75,1.75,7.11402327860828,5.95171920055385,1.63943773646569,6.79923199884469,0.282760723312077,0,3928.9485844299,
