speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,G,G,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
43.8076245796668,0.928294962352703,12,-1.67359368188128,0.980615271580567,1,11.65,6668.81198396363,115.130444016022,107.820962340768,318.371016622216,105.371022049906,59.1797405031275,98.4052187334043,0,-9.01935275251001,1,47.9082308104814,1.75,1.75,-63.8392116529848,-12.4409785340578,0.324800053984549,10.5786470287846,4.8797021773887,0,2967.07101662222,
44.5072116822882,0.948839331252763,12.25,-1.689289341716,0.964222988397267,1,11.65,6775.30976599479,113.20957382215,107.715167753508,328.620679407598,108.763345430411,59.0780021333768,98.3259458010015,0,-9.22322330301201,1,48.5255595197038,1.75,1.75,-65.3689798821734,-12.3729434805932,0.346791579387425,10.8254322286778,4.8100570995728,0,2977.3206794076,
45.1856283117472,0.969060773261411,12.5,-1.70352617676778,0.949976483309871,1,11.65,6878.58477786923,111.346831816656,107.557700681711,338.715262222385,112.104342106699,58.909884808515,98.245656296658,0,-9.42709385351401,1,49.1390952790371,1.75,1.75,-66.8661950066607,-12.3021248337896,0.366744930851627,11.0701226309745,4.73389452110783,0,2987.41526222239,
45.845206029163,0.988978610716069,12.75,-1.71650104028564,0.937674883963912,1,11.65,6978.99195192768,109.535816185895,107.35280510674,348.675933633159,115.401018223741,58.6777289162082,98.1642074432964,0,-9.63096440401601,1,49.7490169472537,1.75,1.75,-68.332256019832,-12.2980832002535,0.0212492382841579,11.3125920340507,4.65141474605996,0,2997.37593363316,
46.4879812600685,1.0086098890536,13,-1.72838420851713,0.927126605860263,1,11.65,7076.84129217351,108.107486156916,107.438460238739,358.521735123359,118.659675927353,58.3841605680236,98.0874292846768,0,-9.83483495451801,1,50.3554944143201,1.75,1.75,-69.768472862021,-12.1043300906186,1.03354340179909,11.5527248194214,4.56281268466301,0,3007.22173512336,
47.1157328935723,1.02796973165389,13.25,-1.73932275678898,0.918151866145087,1,11.65,7172.40359797372,106.802401302833,107.574735722451,368.269724518642,121.885960833593,58.1625730005071,98.0114213128874,0,-10.03870550502,1,50.9586892641191,1.75,1.75,-71.2000812888491,-11.9129363819443,1.0352719656679,11.7904151494617,4.46827793030951,0,3016.96972451864,
47.7300154272186,1.04707163126846,13.5,-1.68795575531943,0.910584178920083,1,11.65,7265.91550968376,105.5253184758,107.674178192387,377.935131579409,125.0849135251,57.923340910342,97.9345324624188,0,-10.6156864336244,1,52.6493344972602,1.75,1.75,-72.5549756571091,-11.6288134875005,1.55760843321316,12.0255198214991,4.36789819428674,0,3026.63513157941,
48.4011538501912,1.06592769054153,13.75,-1.64060705835681,1.00783551938307,1,11.65,7368.08256395712,104.130033232294,107.744482987756,388.638252765991,128.627317700328,53.1054515789675,97.8475785129983,0,-11.2313728672487,1,54.4293149060879,1.75,1.75,-73.8345394836314,-10.998739324653,3.49920474289429,12.2580416466246,4.26205281108394,0,3037.33825276599,
49.1168745610859,1.08452228857085,14,-1.60168414345719,1.08989656063306,1,11.65,7477.03635681357,102.642062178633,107.775342587007,400.217027686363,132.459536350096,48.7779535028472,97.7513183586599,0,-11.8470593008731,1,56.187769809923,1.75,1.75,-75.0787263694947,-10.4921554784253,2.85294343232748,12.4880048108812,4.15110756633005,0,3048.91702768636,
49.8639126177243,1.10284593004932,14.25,-1.47994034362975,1.15440827954165,1,11.65,7590.75757298056,101.088982901562,107.758986790376,412.483727712969,136.519437068122,45.0666083669669,97.646789516895,0,-13.21461416758,1,60.0312906693138,1.75,1.75,-76.1844641333932,-9.77892741104781,4.07610401284169,12.7153663901038,4.03526568163681,0,3061.18372771297,
